ID,DESCRICAO,timestamp,ESTOQUE,UNIDADE,LOJA,CATEGORIA,MARCA,QUALIDADE,QTD,URL,TAMANHO
id_122,Fralda Pampers Confort Sec Max Xg Com 88 Unidades,2024-12-03 13:55:33,True,1.39,INTER SHOP,fraldas,PAMPERS,CONFORT SEC,88,https://shopping.inter.co/Fralda-Pampers-Confort-Sec/p/5990699,XG
id_123,Fralda Huggies Tripla Proteção Hiper Xg Com 66 Unidades,2024-12-03 13:55:33,True,1.48,INTER SHOP,fraldas,HUGGIES,TRIPLA PROTECAO,66,https://shopping.inter.co/Fralda-Huggies-Tripla/p/5990949,XG
id_124,Fralda Huggies Supreme Care Ultra Xg Com 140 Unidades,2024-12-03 13:55:33,True,1.17,INTER SHOP,fraldas,HUGGIES,SUPREME CARE,140,https://shopping.inter.co/Fralda-Huggies-Supreme-Care/p/5990480,XG
id_125,Kit Fralda Descartável Huggies Supreme Care XG 116 Tiras,2024-12-03 13:55:33,True,1.43,INTER SHOP,fraldas,HUGGIES,SUPREME CARE,116,https://shopping.inter.co/Kit-Fralda-Descartavel/p/4581811,XG
id_125,Kit Fralda Descartável Huggies Supreme Care XG 116 Tiras,2024-12-03 13:55:33,True,2.76,INTER SHOP,fraldas,HUGGIES,SUPREME CARE,116,https://shopping.inter.co/Kit-Fralda-Descartavel/p/4581811,XG
id_126,Fralda Pampers Confort Sec Bag Xg Com 58 Unidades,2024-12-03 13:55:33,True,1.39,INTER SHOP,fraldas,PAMPERS,CONFORT SEC,58,https://shopping.inter.co/Fralda-Pampers-Confort-Sec/p/8150949,XG
id_127,Fralda Huggies Supreme Care Xg Max 82 Unidades,2024-12-03 13:55:33,True,1.22,INTER SHOP,fraldas,HUGGIES,SUPREME CARE,82,https://shopping.inter.co/Fralda-Huggies-Supreme-Care/p/8134755,XG
id_128,Fralda Huggies Supreme Care Tamanho XG 140 Fraldas Descartáveis,2024-12-03 13:55:33,True,1.4,INTER SHOP,fraldas,HUGGIES,SUPREME CARE,140,https://shopping.inter.co/Fralda-Huggies-Supreme-Care/p/2381676,XG
id_129,Fralda Huggies Supreme Care Tamanho XG 58 Fraldas Descartáveis,2024-12-03 13:55:33,True,1.76,INTER SHOP,fraldas,HUGGIES,SUPREME CARE,58,https://shopping.inter.co/Fralda-Huggies-Supreme-Care/p/4344466,XG
id_130,Fralda Huggies Supreme Care Mega Xg 26 Unidades,2024-12-03 13:55:33,True,2.53,INTER SHOP,fraldas,HUGGIES,SUPREME CARE,26,https://shopping.inter.co/Fralda-Huggies-Supreme-Care/p/4561166,XG
